"key","label"
"act_sec24","พ.ร.บ.ทรัพยากรน้ำ มาตรา 24"
"act_sec17-1","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (1)"
"act_sec17-2","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (2)"
"act_sec17-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (3)"
"act_sec17-4","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (4)"
"act_sec17-5","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (5)"
"act_sec17-8","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (8)"
"act_sec17-9","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (9)"
"act_sec17-11","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (11)"
"act_sec17-12","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (12)"
"act_sec17-16","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (16)"
"act_sec23-2","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (2)"
"act_sec23-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (3)"
"act_sec23-4","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (4)"
"act_sec23-6","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (6)"
"act_sec23-7","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (7)"
"act_sec23-8","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (8)"
"act_sec23-9","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (9)"
"act_sec23-10","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (10)"
"act_sec37-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 37 (3)"
"act_sec37-5","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (5)"
"mr_num2-1","กฎกระทรวง 2 (1)"
"mr_num2-2","กฎกระทรวง 2 (2)"
"mr_num2-3","กฎกระทรวง 2 (3)"
"mr_num2-4","กฎกระทรวง 2 (4)"
"mr_num2-5","กฎกระทรวง 2 (5)"
"mr_num2-6","กฎกระทรวง 2 (6)"
"mr_num2-7","กฎกระทรวง 2 (7)"
"mr_num2-8","กฎกระทรวง 2 (8)"
"mr_num2-9","กฎกระทรวง 2 (9)"
"mr_num2-10","กฎกระทรวง 2 (10)"
"mr_num2-11","กฎกระทรวง 2 (11)"
"mr_num10-1","กฎกระทรวง 10 (1)"
"mr_num10-2","กฎกระทรวง 10 (2)"
"mr_num10-3","กฎกระทรวง 10 (3)"
"mr_num10-4","กฎกระทรวง 10 (4)"
"mr_num10-5","กฎกระทรวง 10 (5)"
"mr_num10-6","กฎกระทรวง 10 (6)"
"mr_num10-7","กฎกระทรวง 10 (7)"
"mr_num11-2","กฎกระทรวง 11 (2)"
"mr_num11-3","กฎกระทรวง 11 (3)"
"mr_num12-1","กฎกระทรวง 12 (1)"
"mr_num12-2","กฎกระทรวง 12 (2)"
"mr_num12-3","กฎกระทรวง 12 (3)"
"mr_num12-4","กฎกระทรวง 12 (4)"
"mr_num12-5","กฎกระทรวง 12 (5)"
"mr_num13-1","กฎกระทรวง 13 (1)"
"mr_num13-2","กฎกระทรวง 13 (2)"
"mr_num13-3","กฎกระทรวง 13 (3)"
"mr_num13-4","กฎกระทรวง 13 (4)"
"mr_num13-6","กฎกระทรวง 13 (6)"
"mr_num13-10","กฎกระทรวง 13 (10)"
"mr_num15-2","กฎกระทรวง 15 (2)"
"mr_num15-3","กฎกระทรวง 15 (3)"
