"key","label","detail"
"act_sec24","พ.ร.บ.ทรัพยากรน้ำ มาตรา 24","ในกรณีเกิดปัญหาวิกฤติน้ำจนอาจก่อให้เกิดผลกระทบ<br>ต่อการดำรงชีวิตของคน สัตว์ หรือพืช หรืออาจก่อให้เกิด<br>ความเสียหายแก่ทรัพย์สินของประชาชนหรือของรัฐอย่างรุนแรง<br>ให้นายกรัฐมนตรีมีอำนาจจัดตั้งศูนย์บัญชาการเฉพาะกิจ<br>โดยนายกรัฐมนตรีเป็นผู้บัญชาการ อำนวยการ แก้ไข<br>ปัญหาวิกฤติน้ำเป็นการชั่วคราว จนกว่าปัญหาวิกฤติน้ำ<br>จะผ่านพ้นไป ทั้งนี้ ให้สำนักงบประมาณ พิจารณา<br>จัดสรรงบประมาณให้กับศูนย์บัญชาการเฉพาะกิจ<br>เพื่อเป็นค่าใช้จ่ายในการจัดตั้งและสนับสนุนการปฏิบัติงาน"
"act_sec17-1","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (1)","(๑) จัดทำนโยบายและแผนแม่บทเกี่ยวกับการบริหาร<br>ทรัพยากรน้ำที่สอดคล้องกับยุทธศาสตร์ชาติเพื่อ<br>เสนอคณะรัฐมนตรีให้ความเห็นชอบ"
"act_sec17-2","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (2)","พิจารณาและให้ความเห็นชอบแผปฏิบัติการของหน่วยงาน<br>ของรัฐและองค์กรปกครองส่วนท้องถิ่นที่เกี่ยวกับทรัพยากรน้ำ<br>และแผนงประมาณการบริหารทรัพยากรน้ำแบบบูรณาการ<br>ให้สอดคล้อง กับนโยบายและแผนแม่บทตาม (1) และเสนอ<br>คณะรัฐมนตรี เพื่อพิจารณาในการจัดทำงบประมาณประจำปี<br>"
"act_sec17-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (3)","พิจารณาและให้ความเห็นชอบแผนแม่บทการใช้ การพัฒนา<br> การบริหารจัดการ การบำรุงรักษา การฟื้นฟู และการอนุรักษ์<br>ทรัพยากรน้ำในเขตลุ่มน้ำต่าง ๆ ตามที่คณะกรรมการลุ่มน้ำ<br>เสนอ ตามมาตรา 35 (1)"
"act_sec17-4","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (4)","กำกับ ดูแล เร่งรัด ตรวจสอบ ติดตาม และให้คำแนะนำแก่<br>หน่วยงานของรัฐและองค์กรปกครองส่วนท้องถิ่นในการดำเนินการ<br>ตามโยบาย และแผนแม่บทตาม (1) รวมทั้งแผนปฏิบัติการ <br>และแผนงบประมาณตาม (2) และรายงานให้คณะรัฐมนตรี<br>ทราบทุกสิ้นปีงบประมาณ"
"act_sec17-5","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (5)","พิจารณาและให้ความเห็นชอบผังน้ำที่สำนักงานเสนอ<br> และประกาศ กำหนดผังน้ำในราชกิจจานุเบกษา"
"act_sec17-8","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (8)","กำหนดหน่วยงานของรัฐและองค์กรปกครองส่วนท้องถิ่น<br>ที่มีหน้าที่ต้องให้ความร่วมมือ ต่อสำนักงานในการรรบรวม<br>ข้อมูล เชื่อมต่อข้อมูล และบูรมาการขัลด้านทรัพยากรน้ำ"
"act_sec17-9","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (9)","กำหนดกรอบ หลักเกณฑ์ และแนวทางการปฏิบัติงานของ<br>คณะกรรมการลุ่มน้ำ และลำดับความสำคัญของการใช้น้ำ<br>สำหรับกิจการปรประเภทต่าง ๆ เพื่อให้คณะกรรมการลุ่มน้ำ<br>นำไปพิจารณา ในการจัดสรรน้ำและควบคุมการใช้น้ำ<br>ในแต่ละลุ่มน้ำ"
"act_sec17-11","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (11)","พิจารณาและให้ความเห็นชอบการอนุญาตการใช้น้ำประเภทที่สาม<br>ตามมาตรา 44 และการเพิกถอนใบอนุญาตการใช้น้ำประเถทที่สาม<br>ตามมาตรา 54"
"act_sec17-12","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (12)","พิจารณาและให้ความเห็นชอบการผันน้ำระหว่างลุ่มน้ำและ<br>การผันน้ำจากแหล่งน้ำระหว่างประเทศหรือแหล่งน้ำต่างประเทศ"
