"key","label"
"t01","การวิเคราะห์ บูรณาการติดตาม และเฝ้าระวังสถานการณ์ น้ำท่วม น้ำแล้ง และคุณภาพน้ำ"
"t02","การประกาศแจ้งเตือนเฝ้าระวังสถานการณ์น้ำท่วม น้ำแล้ง และคุณภาพน้ำ"
"t03","การวิเคราะห์สมดุลน้ำเพื่อการจัดสรรน้ำ"
"t04","การวิเคราะห์การอนุญาตใช้น้ำประเภทที่ 1"
"t05","การวิเคราะห์การอนุญาตใช้น้ำประเภทที่ 2"
"t06","การวิเคราะห์การอนุญาตใช้น้ำประเภทที่ 3"
"t07","การวิเคราะห์การผันน้ำข้ามลุ่มน้ำ"
"t08","การจัดทำมาตรฐานสำหรับการเชื่อมโยงชุดข้อมูล"
"t09","การบูรณาการสารสนเทศทรัพยากรน้ำ จัดทำมาตรฐานข้อมูลเชื่อมโยงข้อมูล และขับเคลื่อนธรรมาภิบาลข้อมูล"
"t10","การจัดทำคลังและระบบเชื่อมโยงสารสนเทศทรัพยากรน้ำ "
"t11","การจัดทำศูนย์ข้อมูลระดับประเทศ ลุ่มน้ำ จังหวัดและชุมชน"
"t12","การจัดทำผังน้ำ"
"t13","การจัดทำทะเบียนแหล่งน้ำ"
"t14","ระบบสนับสนุนการขับเคลื่อนงานภายใต้ กนช."
"t15","ระบบสนับสนุนการขับเคลื่อนงานภายใต้คณะกรรมการลุ่มน้ำ"
"t16","ระบบสนับสนุนการขับเคลื่อนองค์กรผู้ใช้น้ำ"
"t17","ระบบสนับสนุนการจัดทำแผน การบริหารจัดการน้ำ"
"t18","ระบบสนับสนุนการติดตามประเมินผล"
